Atoll	Constituency 	Constituent Islands	Name of MP	Const	Location
R	Inguraidhoo Dhaairaa	Kinolhas	Ibrahim Falah	E04	R - Kinolhas
R	Inguraidhoo Dhaairaa	Rasmaadhoo	Ibrahim Falah	E04	R - Rasmaadhoo
R	Maduvvari Dhaairaa	Maduvvari	Ahmed Zahir	E05	R - Maduvvari
R	Maduvvari Dhaairaa	Meedhoo	Ahmed Zahir	E05	R - Meedhoo
B	Thulhaadhoo Dhaairaa	Fehendhoo	Abdul Hannaan Aboobakuru	F01	B - Fehendhoo
B	Thulhaadhoo Dhaairaa	Fehendhoo	Abdul Hannaan Aboobakuru	F01	B - Fehendhoo
B	Thulhaadhoo Dhaairaa	Goidhoo	Abdul Hannaan Aboobakuru	F01	B - Goidhoo
B	Thulhaadhoo Dhaairaa	Thulhaadhoo	Abdul Hannaan Aboobakuru	F01	B - Thulhaadhoo
B	Eydhafushi Dhaairaa	Eydhafushi	Ahmed Saleem	F02	B - Eydhafushi
B	Kendhoo Dhaairaa	Dhonfanu	Mauroof Zakir	F03	B - Dhonfanu
B	Kendhoo Dhaairaa	Kamadhoo	Mauroof Zakir	F03	B - Kamadhoo
B	Kendhoo Dhaairaa	Kendhoo	Mauroof Zakir	F03	B - Kendhoo
B	Kendhoo Dhaairaa	Kihaadhoo	Mauroof Zakir	F03	B - Kihaadhoo
B	Kendhoo Dhaairaa	Kudarikilu	Mauroof Zakir	F03	B - Kudarikilu
B	Hithaadhoo Dhaairaa	Dharavandhoo	Mohamed Siruhaan	F04	B - Dharavandhoo
B	Hithaadhoo Dhaairaa	Hithaadhoo	Mohamed Siruhaan	F04	B - Hithaadhoo
B	Hithaadhoo Dhaairaa	Maalhos	Mohamed Siruhaan	F04	B - Maalhos
Lh	Hinnavaru Dhaairaa	Hinnavaru	Mohamed Abdul Rahman	G01	Lh - Hinnavaru
Lh	Naifaru Dhaairaa	Naifaru	Yaaseen Abdulla	G02	Lh - Naifaru
Lh	Kurendhoo Dhaairaa	Kurendhoo	Mohamed Shamin Habeeb	G03	Lh - Kurendhoo
Lh	Kurendhoo Dhaairaa	Olhuvelifushi	Mohamed Shamin Habeeb	G03	Lh - Olhuvelifushi
K	Kaashidhoo Dhaairaa	Gaafaru	Munthazim Ibrahim	H01	K - Gaafaru
K	Kaashidhoo Dhaairaa	Kaashidhoo	Munthazim Ibrahim	H01	K - Kaashidhoo
K	Thulusdhoo Dhaairaa	Dhiffushi	Ibrahim Naseem	H02	K - Dhiffushi
